index,team1,team2,result_winner_1,result_winner_2,result_winner_3
0,G-3,G-5,team1,team1,
1,G-8,G-14,team1,team2,team1
2,G-8,G-3,team2,team2,
3,G-5,G-10,team2,team2,
4,G-14,G-9,team2,team1,team2
5,G-2,G-8,team2,team1,team2
6,G-6,G-11,team1,team2,team1
7,G-12,G-11,team1,team1,
8,G-14,G-2,team1,team1,
9,G-12,G-8,team1,team1,
10,G-6,G-5,team1,team1,
11,G-14,G-7,team2,team2,
12,G-4,G-5,,,
13,G-11,G-7,,,
14,G-8,G-10,,,
15,G-14,G-6,,,
16,G-14,G-4,,,
17,G-4,G-8,,,
18,G-7,G-13,,,
19,G-14,G-11,,,
20,G-14,G-1,,,
21,G-11,G-2,,,
22,G-5,G-13,,,
23,G-5,G-8,,,
24,G-3,G-14,,,
25,G-11,G-5,,,
26,G-9,G-8,,,
27,G-2,G-5,,,
28,G-13,G-8,,,
29,G-4,G-13,,,
30,G-11,G-8,,,
31,G-8,G-6,,,
32,G-14,G-10,,,
33,G-3,G-13,,,
34,G-13,G-11,,,
35,G-8,G-7,,,
36,G-5,G-14,,,
37,G-12,G-13,,,
38,G-5,G-1,,,
39,G-9,G-11,,,
40,G-1,G-8,,,
41,G-3,G-11,,,
42,G-11,G-1,,,
43,G-5,G-9,,,
44,G-13,G-14,,,
45,G-11,G-10,,,
46,G-12,G-14,,,
47,G-5,G-12,,,
48,G-4,G-11,,,
49,G-7,G-5,,,
